Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,19,14,3,2,37,12,25,45,"Leandro Trossard, Viktor Gyökeres - 5",David Raya,
2,Manchester City,19,13,2,4,43,17,26,41,Erling Haaland - 19,Gianluigi Donnarumma,
3,Aston Villa,19,12,3,4,30,23,7,39,Morgan Rogers - 7,Emiliano Martínez,
4,Liverpool,19,10,3,6,30,26,4,33,Hugo Ekitike - 8,Alisson,
5,Chelsea,19,8,6,5,32,21,11,30,João Pedro - 6,Robert Sánchez,
6,Manchester Utd,19,8,6,5,33,29,4,30,Bryan Mbeumo - 6,Senne Lammens,
7,Sunderland,19,7,8,4,20,18,2,29,Wilson Isidor - 4,Robin Roefs,
8,Everton,19,8,4,7,20,20,0,28,"Kiernan Dewsbury-Hall, Iliman Ndiaye - 4",Jordan Pickford,
9,Brentford,19,8,3,8,28,26,2,27,Thiago - 11,Caoimhín Kelleher,
10,Crystal Palace,19,7,6,6,22,21,1,27,Jean-Philippe Mateta - 8,Dean Henderson,
11,Fulham,19,8,3,8,26,27,-1,27,Harry Wilson - 5,Bernd Leno,
12,Tottenham,19,7,5,7,27,23,4,26,Richarlison - 7,Guglielmo Vicario,
13,Newcastle Utd,19,7,5,7,26,24,2,26,Nick Woltemade - 7,Nick Pope,
14,Brighton,19,6,7,6,28,27,1,25,Danny Welbeck - 8,Bart Verbruggen,
15,Bournemouth,19,5,8,6,29,35,-6,23,Antoine Semenyo - 9,?or?e Petrovi?,
16,Leeds United,19,5,6,8,25,32,-7,21,Dominic Calvert-Lewin - 8,Lucas Perri,
17,Nott'ham Forest,19,5,3,11,18,30,-12,18,"Morgan Gibbs-White, Callum Hudson-Odoi - 3",Matz Sels,
18,West Ham,19,3,5,11,21,38,-17,14,Jarrod Bowen - 6,Alphonse Areola,
19,Burnley,19,3,3,13,20,37,-17,12,Zian Flemming - 5,Martin Dúbravka,
20,Wolves,19,0,3,16,11,40,-29,3,"Santiago Bueno, Ladislav Krej?í - 2",Sam Johnstone,
1,Barcelona,18,15,1,2,51,20,31,46,Ferrán Torres - 11,Joan García,
2,Real Madrid,18,13,3,2,36,16,20,42,Kylian Mbappé - 18,Thibaut Courtois,
3,Atlético Madrid,18,11,4,3,33,16,17,37,Julián Álvarez - 7,Jan Oblak,
4,Villarreal,16,11,2,3,31,15,16,35,Alberto Moleiro - 6,Luiz Lúcio Reis Júnior,
5,Espanyol,17,10,3,4,22,17,5,33,Pere Milla - 6,Marko Dmitrovi?,
6,Betis,17,7,7,3,29,19,10,28,Cucho - 7,Álvaro Vallés,
7,Celta Vigo,17,5,8,4,20,19,1,23,Borja Iglesias - 5,Ionu? Radu,
8,Athletic Club,18,7,2,9,16,24,-8,23,"Roberto Navarro, Nico Williams - 3",Unai Simón,
9,Elche,17,5,7,5,23,20,3,22,Rafa Mir - 6,Iñaki Peña,
10,Sevilla,17,6,2,9,24,26,-2,20,"Ruben Vargas, Akor Adams... - 3",Odysseas Vlachodimos,
11,Getafe,17,6,2,9,13,22,-9,20,Borja Mayoral - 4,David Soria,
12,Osasuna,17,5,3,9,17,20,-3,18,Ante Budimir - 6,Sergio Herrera,
13,Mallorca,17,4,6,7,19,24,-5,18,Vedat Muriqi - 9,Leo Román,
14,Alavés,17,5,3,9,14,20,-6,18,Carlos Vicente - 4,Antonio Sivera,
15,Rayo Vallecano,17,4,6,7,13,20,-7,18,Jorge de Frutos - 4,Augusto Batalla,
16,Real Sociedad,17,4,5,8,21,25,-4,17,Mikel Oyarzabal - 5,Álex Remiro,
17,Valencia,17,3,7,7,16,26,-10,16,Hugo Duro - 6,Julen Agirrezabala,
18,Girona,17,3,6,8,15,33,-18,15,"Cristhian Stuani, Viktor Tsyhankov... - 3",Paulo Gazzaniga,
19,Oviedo,17,2,5,10,7,26,-19,11,Salomón Rondón - 2,Aarón Escandell,
20,Levante,16,2,4,10,17,29,-12,10,Karl Etta Eyong - 5,Mathew Ryan,
1,Inter,16,12,0,4,35,14,21,36,Lautaro Martínez - 9,Yann Sommer,
2,Milan,16,10,5,1,27,13,14,35,Christian Pulisic - 8,Mike Maignan,
3,Napoli,16,11,1,4,24,13,11,34,Rasmus Højlund - 6,Vanja Milinkovi?-Savi?,
4,Roma,17,11,0,6,20,11,9,33,Matìas Soulé - 5,Mile Svilar,
5,Juventus,17,9,5,3,23,15,8,32,Kenan Y?ld?z - 6,Michele Di Gregorio,
6,Como,16,7,6,3,22,12,10,27,Nicolás Paz - 6,Jean Butez,
7,Bologna,16,7,5,4,24,14,10,26,Riccardo Orsolini - 6,?ukasz Skorupski,
8,Lazio,17,6,6,5,18,12,6,24,"Mattia Zaccagni, Matteo Cancellieri - 3",Ivan Provedel,
9,Sassuolo,17,6,4,7,22,21,1,22,"Domenico Berardi, Andrea Pinamonti - 4",Arijanet Muric,
10,Atalanta,17,5,7,5,20,19,1,22,Gianluca Scamacca - 5,Marco Carnesecchi,
11,Udinese,17,6,4,7,18,28,-10,22,Keinan Davis - 5,Maduka Okoye,
12,Cremonese,17,5,6,6,18,20,-2,21,Federico Bonazzoli - 5,Emil Audero,
13,Torino,17,5,5,7,17,28,-11,20,Nikola Vlaši? - 5,Franco Israel,
14,Cagliari,17,4,6,7,19,24,-5,18,"Sebastiano Esposito, Gennaro Borrelli - 3",Elia Caprile,
15,Parma,16,4,5,7,11,18,-7,17,Mateo Pellegrino - 4,Zion Suzuki,
16,Lecce,16,4,4,8,11,22,-11,16,"Lassana Coulibaly, Konan N'dri... - 2",Wladimiro Falcone,
17,Genoa,17,3,5,9,17,27,-10,14,Leo Skiri Østigård - 3,Nicola Leali,
18,Hellas Verona,16,2,6,8,13,25,-12,12,Gift Orban - 4,Lorenzo Montipò,
19,Pisa,17,1,8,8,12,24,-12,11,"Stefano Moreo, M'Bala Nzola - 3",Adrian Šemper,
20,Fiorentina,17,1,6,10,17,28,-11,9,Rolando Mandragora - 5,David de Gea,
1,Bayern Munich,15,13,2,0,55,11,44,41,Harry Kane - 19,Manuel Neuer,
2,Dortmund,15,9,5,1,26,12,14,32,Serhou Guirassy - 5,Gregor Kobel,
3,Leverkusen,15,9,2,4,33,20,13,29,Patrik Schick - 6,Mark Flekken,
4,RB Leipzig,15,9,2,4,30,19,11,29,"Christoph Baumgartner, Yan Diomandé - 6",Péter Gulácsi,
5,Hoffenheim,15,8,3,4,29,20,9,27,Fisnik Asllani - 6,Oliver Baumann,
6,Stuttgart,15,8,2,5,25,22,3,26,Deniz Undav - 8,Alexander Nübel,
7,Eint Frankfurt,15,7,4,4,30,30,0,25,Jonathan Burkardt - 8,Michael Zetterer,
8,Union Berlin,15,6,3,6,20,23,-3,21,Ilyas Ansah - 5,Frederik Rønnow,
9,Freiburg,15,5,5,5,25,26,-1,20,Vincenzo Grifo - 5,Noah Atubolu,
10,Werder Bremen,15,4,5,6,18,28,-10,17,Jens Stage - 5,Mio Backhaus,
11,Köln,15,4,4,7,22,24,-2,16,Said El Mala - 6,Marvin Schwäbe,
12,Gladbach,15,4,4,7,18,24,-6,16,Haris Tabakovic - 7,Moritz Nicolas,
13,Hamburger SV,15,4,4,7,16,25,-9,16,"Albert Sambi Lokonga, Rayan Philippe - 4",Daniel Heuer Fernandes,
14,Wolfsburg,15,4,3,8,23,28,-5,15,Mohamed Amoura - 6,Kamil Grabara,
15,Augsburg,15,4,2,9,17,28,-11,14,Fabian Rieder - 3,Finn Dahmen,
16,St. Pauli,15,3,3,9,13,26,-13,12,Andreas Hountondji - 4,Nikola Vasilj,
17,Heidenheim,15,3,2,10,13,34,-21,11,Stefan Schimmer - 4,Diant Ramaj,
18,Mainz 05,15,1,5,9,13,26,-13,8,Nadiem Amiri - 3,Robin Zentner,
1,Lens,16,12,1,3,28,13,15,37,Odsonne Édouard - 7,Robin Risser,
2,Paris S-G,16,11,3,2,35,14,21,36,"João Neves, Bradley Barcola - 5",Lucas Chevalier,
3,Marseille,16,10,2,4,36,15,21,32,Mason Greenwood - 11,Gerónimo Rulli,
4,Lille,16,10,2,4,33,20,13,32,"Hákon Arnar Haraldsson, Hamza Igamane - 5",Berke Özer,
5,Lyon,16,8,3,5,22,16,6,27,Pavel Šulc - 6,Dominik Greif,
6,Rennes,16,7,6,3,27,24,3,27,Esteban Lepaul - 8,Brice Samba,
7,Toulouse,16,6,5,5,24,19,5,23,Yann Gboho - 5,Guillaume Restes,
8,Strasbourg,16,7,2,7,25,20,5,23,Joaquín Panichelli - 9,Mike Penders,
9,Monaco,16,7,2,7,26,27,-1,23,Ansu Fati - 5,Philipp Köhn,
10,Angers,16,6,4,6,17,18,-1,22,Sidiki Cherif - 4,Hervé Koffi,
11,Brest,16,5,4,7,21,27,-6,19,Romain Del Castillo - 6,Rados?aw Majecki,
12,Lorient,16,4,6,6,19,28,-9,18,Pablo Pagis - 5,Yvon Mvogo,
13,Nice,16,5,2,9,19,29,-10,17,Sofiane Diop - 6,Yehvann Diouf,
14,Paris FC,16,4,4,8,21,29,-8,16,Ilan Kebbal - 6,Obed Nkambadio,
15,Le Havre,16,3,6,7,13,22,-9,15,"Issa Soumaré, Rassoul Ndiaye - 3",Mory Diaw,
16,Auxerre,16,3,3,10,14,25,-11,12,Lassine Sinayoko - 6,Donovan Léon,
17,Nantes,16,2,5,9,14,28,-14,11,Youssef El-Arabi - 3,Anthony Lopes,
18,Metz,16,3,2,11,17,37,-20,11,Gauthier Hein - 5,Jonathan Fischer,
